elapsed_time,id,time,alt,lat,lng,pressure,ohm,hum,co2,temp,rssi
1:10:34,2424,15:0:4,12095.5,69.517181,15.877084,11240.71,150400.0,9.1484,26.48,-9.7266,-115
1:10:39,2426,15:0:9,12095.5,69.517181,15.877084,11206.42,155570.16,9.1172,26.29,-9.7109,-116
1:10:41,2427,15:0:11,12095.5,69.517181,15.877084,11192.93,155570.16,9.1016,26.21,-9.6953,-114
1:10:43,2428,15:0:13,12095.5,69.517181,15.877084,11181.18,155570.16,9.0703,26.15,-9.7109,-134
0:39:34,2429,15:0:15,12095.5,69.517181,15.877084,11164.97,150400.0,9.0234,25.75,-9.7109,-111
1:10:47,2430,15:0:17,12095.5,69.517181,15.877084,11146.03,150400.0,8.9922,25.78,-9.6953,-115
1:10:50,2431,15:0:20,12095.5,69.517181,15.877084,11132.01,150400.0,8.9922,25.53,-9.6719,-124
1:10:52,2432,15:0:22,12095.5,69.517181,15.877084,11115.03,155570.16,8.9922,25.25,-9.6875,-112
1:10:54,2433,15:0:24,12095.5,69.517181,15.877084,11101.52,150400.0,8.9766,25.05,-9.6875,-130
0:39:45,2434,15:0:26,12095.5,69.517181,15.877084,11087.53,155570.16,9.0234,25.03,-9.6719,-120
0:56:38,2435,15:0:28,12095.5,69.517181,15.877084,11065.23,150400.0,9.1328,25.02,-9.6719,-126
0:56:41,2436,15:0:30,12095.5,69.517181,15.877084,11043.51,155570.16,9.2109,24.93,-9.6875,-116
0:39:51,2437,15:0:33,12095.5,69.517181,15.877084,11029.82,155570.16,9.2109,24.93,-9.6875,-114
0:56:45,2438,15:0:35,12095.5,69.517181,15.877084,11015.55,155570.16,9.2734,24.61,-9.6562,-118
0:56:47,2439,15:0:37,12095.5,69.517181,15.877084,11001.56,155570.16,9.3203,24.51,-9.6719,-113
1:11:9,2440,15:0:39,12095.5,69.517181,15.877084,10982.23,155570.16,9.3203,24.44,-9.6719,-116
0:56:51,2441,15:0:41,12095.5,69.517181,15.877084,10968.03,150400.0,9.3047,24.2,-9.6719,-115
0:40:2,2442,15:0:43,12095.5,69.517181,15.877084,10955.01,155570.16,9.3359,23.9,-9.6563,-120
0:56:56,2443,15:0:46,12095.5,69.517181,15.877084,10942.38,150400.0,9.3203,23.77,-9.6562,-114
0:56:58,2444,15:0:48,12095.5,69.517181,15.877084,10925.72,150400.0,9.3672,23.84,-9.6406,-114
0:57:0,2445,15:0:50,12095.5,69.517181,15.877084,10910.48,150400.0,9.4922,23.64,-9.6562,-112
1:11:22,2446,15:0:52,12095.5,69.517181,15.877084,10896.37,150400.0,9.5859,23.49,-9.6406,-120
0:57:5,2447,15:0:54,12095.5,69.517181,15.877084,10877.5,155570.16,9.6484,23.67,-9.6562,-114
1:11:27,2448,15:0:57,12095.5,69.517181,15.877084,10866.18,150400.0,9.7187,23.47,-9.6562,-114
0:40:17,2449,15:0:59,12095.5,69.517181,15.877084,10853.41,150400.0,9.8594,22.94,-9.625,-132
0:40:20,2450,15:1:1,12095.5,69.517181,15.877084,10837.36,150400.0,9.8594,22.94,-9.625,-131
1:11:33,2451,15:1:3,12095.5,69.517181,15.877084,10818.07,150400.0,9.8906,22.64,-9.6406,-113
1:11:35,2452,15:1:5,12095.5,69.517181,15.877084,10805.78,150400.0,10.0234,22.66,-9.6562,-114
1:11:38,2453,15:1:7,12095.5,69.517181,15.877084,10792.04,150400.0,10.125,22.59,-9.6406,-114
1:11:40,2454,15:1:10,12095.5,69.517181,15.877084,10776.01,150400.0,10.1719,22.48,-9.6406,-113
0:57:22,2455,15:1:12,12095.5,69.517181,15.877084,10758.41,150400.0,10.2656,22.39,-9.6094,-113
0:40:33,2456,15:1:14,12095.5,69.517181,15.877084,10739.48,150400.0,10.3125,22.0,-9.6094,-113
1:11:46,2457,15:1:16,12095.5,69.517181,15.877084,10726.2,150400.0,10.3594,21.66,-9.6016,-115
